id,title,currentPrice,mrp,discount,discountPercentage,imageUrl,imageAlt,features,productUrl,rating,availability,pageNumber,scrapedAt,page
243715,"Instanio Prime Instant Water Heater (Geyser)",3891.00,7290.00,"47% Off",47,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/g/h/ghwvnpswcw03_9__1.jpg","Instanio Prime Instant Water Heater (Geyser)","Feroglas Coated Inner Container: Provides superior corrosion resistance | Heavy duty Heating Element: High Performance & Quick heating | Heavy duty Protective anode rod: Protects the inner container from corrosion","https://havells.com//instanio-prime-instant-water-heater-geyser-ghwvnpswcw03.html","","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
242950,"Koolmate 40 L Personal Air Cooler",7291.00,15390.00,"53% Off",53,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/k/o/koolmate_40_1.jpg","Koolmate 40 L Personal Air Cooler","40 L Tank Capacity | Powerful Air Delivery | Fan & 3 Side Honeycomb Pads with Bacteria Shield Technology","https://havells.com//koolmate-40-l-personal-air-cooler-ghraccve038.html","85%","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
234363,"Koolaire 55 L Desert Air Cooler",10290.00,22290.00,"54% Off",54,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/k/o/koolaire_55_1.jpg","Koolaire 55 L Desert Air Cooler","55 L Tank Capacity | 5 Leaf Metal Blades | 3 Side Honeycomb Pads with Bacteria Shield Technology","https://havells.com//koolaire-55-l-desert-air-cooler-ghracaae050.html","85%","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
184712,"Convertible 80 L Desert Air Cooler",13991.00,29890.00,"53% Off",53,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/g/h/ghraccce1851_1.jpg","Convertible 80 L Desert Air Cooler","80 L Tank Capacity | 2-in-1 Convertible Cooler | Can be used as side Table in packed condition","https://havells.com//convertible-80-l-desert-cooler-ghraccce1851.html","84%","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
185252,"Havells Gracia Alkaline Max Water Purifier",23500.00,38500.00,"39% Off",39,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/g/h/ghwrgms015_1__2.jpg","Havells Gracia Alkaline Max Water Purifier","Featuring a classy design with Stainless Steel Tank, the water purifier comes in Grey & Black. It has a Touch option with dispensing of Hot or Warm or Ambient water. | Best in class Purification Technology | Features iProtect purification monitoring that cuts off water if it is no longer safe to drink. UV LED provided on tank for 24x7 tank sanitation. Other features include Smart indications & error alerts.","https://havells.com//havells-gracia-alkaline-max-water-purifier-ghwrgms015.html","","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
165599,"Blaze Heavy Weight Dry Iron",1199.00,2300.00,"48% Off",48,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/b/l/blaze_2_.jpg","Blaze Heavy Weight Dry Iron","Best in Class 2 kg Heavy Weight Dry Iron with Cool Touch Plastic | Blaze Heavy Weight Dry Iron comes with the powerful 1250 W Heating Element | ISI Certified for both Safety & Performance","https://havells.com//blaze-heavy-weight-dry-iron-ghgdicpk125.html","","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
82434,"Carlo Instant Water Heater (Geyser)",2849.00,6790.00,"58% Off",58,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/c/a/carlo.jpg","Carlo Instant Water Heater (Geyser)","Range Available : 3 L | Mounting : Vertical | Rating as per BIS Standards : IS1 Marked","https://havells.com//carlo-instant-water-heater-geyser-ghwecapwb003.html","","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
121531,"Havells Albus UV Plus Water Purifier",9501.00,15000.00,"37% Off",37,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/g/h/ghwuaus030-base.jpg","Havells Albus UV Plus Water Purifier","Futuristic design for style statement | 100 % UV+UF Purification : Assured Safe & Healthy Water | Ultra filtration","https://havells.com//havells-albus-uv-plus-water-purifier-ghwuaus030.html","","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
8444,"USB Star 4+1 Surge & Spikeguard",646.00,1406.00,"54% Off",54,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/a/h/ahnkxxg063_1_.jpg","USB Star 4+1 Surge & Spikeguard","3 Universal sockets and 3 USB ports with master switch | Rated with 6 A / 240 V AC | High quality 1.5 m wire","https://havells.com//usb-star-41-surge-spikeguard-ahnkxxg063.html","","Available",1,"2025-08-15T13:53:52.133Z","https://havells.com/products/bestseller"
7704,"Havells Gracia Alkaline Water Purifier",22990.00,34499.00,"33% Off",33,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/g/h/ghwrgas015.jpg","Havells Gracia Alkaline Water Purifier","10 stages of 100 % RO &  UV purification delivers alkaline water | Compact & contemporary design & aesthetics with stainless steel tank, the water purifier comes in silver & black color. | Convenience Features","https://havells.com//havells-gracia-alkaline-water-purifier-ghwrgas015.html","95%","Available",1,"2025-08-15T13:53:52.134Z","https://havells.com/products/bestseller"
7582,"Glace Plus Dry Iron",600.00,1295.00,"54% Off",54,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/import/Appliances/GHGDIBUB100.jpg","Glace Plus Dry Iron","1000 W | Non stick coated soleplate | Easy grip temperature control dial","https://havells.com//glace-plus-dry-iron-ghgdibub100.html","","Available",1,"2025-08-15T13:53:52.134Z","https://havells.com/products/bestseller"
6868,"Rigo 500 W Juicer Mixer Grinder",3250.00,5190.00,"37% Off",37,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/import/Appliances/GHFJMBUB050.jpg","Rigo 500 W Juicer Mixer Grinder","500 W | Stainless steel sieve | Foldable juicing spout","https://havells.com//rigo-500-w-juicer-mixer-grinder-ghfjmbub050.html","","Available",1,"2025-08-15T13:53:52.134Z","https://havells.com/products/bestseller"
6813,"CMV15",13014.00,18150.00,"28% Off",28,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/import/pump/MHPVCS1X50.jpg","CMV15","In-built thermal overload protector and F class motor insulation | Dynamically balanced rotor for better efficiency and performance | Operating voltage range: 180 V - 250 V","https://havells.com//cmv15-mhpvcs1x50.html","","Available",1,"2025-08-15T13:53:52.134Z","https://havells.com/products/bestseller"
6496,"Lifesavior Adaptor 16 A",910.00,1268.00,"28% Off",28,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/import/Switches/AHLS301600.jpg","Lifesavior Adaptor 16 A","(6 / 16) A Power adaptor with in-built RCD | Shuttered socket for child safety | Auto trip & visual indication of Power","https://havells.com//lifesavior-adaptor-16-a-ahls301600.html","","Available",1,"2025-08-15T13:53:52.134Z","https://havells.com/products/bestseller"
5522,"BT5100C Beard Trimmer",799.00,1595.00,"50% Off",50,"https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/b/t/bt5100c.jpg","BT5100C Beard Trimmer","Micro USB Charging | Up to 17 mm length setting | Comb lock function","https://havells.com//bt5100c-beard-trimmer-ghpttaalbk00.html","","Available",1,"2025-08-15T13:53:52.134Z","https://havells.com/products/bestseller"
